工件,作业标识号,生产物流号,合作序号,开始时间,结束时间,所选机器,机器号,续作机器,锁定机器,机器容量,切换时间,深浅色,色号,机器常染颜色1,机器常染颜色2,机器上一状态,能否荧光,轴型,优先级,生产顺序,开始时间,结束时间,锁定顺序,合作订单,合作生产物流号,合作染程用时
72,2215708,202404050037,8755521,260.0,640.0,35,606,[],,70,120.0,增白,842050CJ-23W10051,增白,['增白'],,False,M,159.0,2,260.0,640.0,,,,
205,4638420,202405250234,8798755,760.0,930.0,35,606,[],,70,120.0,增白,811060CJX-23W10313,增白,['增白'],,False,纱架,156.0,3,760.0,930.0,,,,
152,4638436,202404210052,8779880,1050.0,1175.0,35,606,[],,70,120.0,增白,452120CAKR-23W10870,增白,['增白'],,False,纱架,64.0,4,1050.0,1175.0,,,,
94,2216933,202405100134,8784221,1295.0,1445.0,35,606,[],,70,120.0,增白,801050CJ-23W10436,增白,['增白'],,False,S,63.25,5,1295.0,1445.0,,,,
200,4639196,202405290177,8800787,1565.0,1745.0,35,606,[],,70,120.0,增白,042076CAJ-21W404407,增白,['增白'],,False,纱架,62.5,6,1565.0,1745.0,,,,
151,4639198,202405290119,8800869,1865.0,2045.0,35,606,[],,70,120.0,增白,041060CJ-05W0004,增白,['增白'],,False,纱架,53.5,7,1865.0,2045.0,,,,
6,2216659,202405080234,8783509,0.0,570.0,36,701,[],,70,120.0,深色,041050CZ-20B220644,深色,['深色'],深色,False,S,157.0,1,0.0,570.0,,,,
209,2216557,202405090173,8784126,690.0,840.0,36,701,[],,70,120.0,中色,5C4100CJR-24H10182,深色,['深色'],深色,True,S,69.25,2,690.0,840.0,,,,
96,2216753,202405080016,8783447,0.0,580.0,37,702,[],,70,120.0,深色,042100CAJ-24B51121,深色,['深色'],深色,False,S,69.25,1,0.0,580.0,,,,
110,4638729,202405080203,8782705,143.35988616666666,568.3598861666667,38,707,[],,70,120.0,中色,042100CAJ-24B43557,浅色,['浅色'],深色,True,纱架,109.25,1,143.35988616666666,568.3598861666667,,,,
146,4638921,202405200010,8798463,688.3598861666667,848.3598861666667,38,707,[],,70,120.0,浅浅,041060CAJ-05W0027,浅色,['浅色'],深色,True,纱架,106.25,2,688.3598861666667,848.3598861666667,,,,
179,4638915,202405200007,8798451,968.3598861666667,1433.3598861666667,38,707,[],,70,120.0,中色,041060AJ-24B46458,浅色,['浅色'],深色,True,纱架,106.25,3,968.3598861666667,1433.3598861666667,,,,
24,2216751,202405250273,8799056,1553.3598861666667,2018.3598861666667,38,707,[],,70,120.0,中色,042080CHJ-21B220624,浅色,['浅色'],深色,False,S,64.75,4,1553.3598861666667,2018.3598861666667,,,,
103,2216673,202405220170,8797172,2138.359886166667,2523.359886166667,38,707,[],,70,120.0,浅浅,042100CAJ-19B410813,浅色,['浅色'],深色,False,M,64.75,5,2138.359886166667,2523.359886166667,,,,
106,4638910,202405200005,8798443,129.8432195,594.8432195,39,817,[],,70,120.0,中色,041060AJ-24B46457,深色,['深色'],浅色,True,纱架,106.25,1,129.8432195,594.8432195,,,,
199,4638351,202405230063,8797596,0.0,565.0,40,910,[],,70,120.0,深色,041020L-24G42985,深色,['深色'],深色,False,纱架,156.75,1,0.0,565.0,,,,
117,2216706,202404270257,8776394,0.0,570.0,41,913,[],,70,120.0,深色,041040CL-15B105409,深色,['深色'],深色,True,M,103.5,1,0.0,570.0,,,,
194,4635846,202405180134,8793407,0.0,180.0,42,507,[],,90,120.0,增白,041040CHJ-24W401214,增白,['增白'],浅浅,False,纱架,162.75,1,0.0,180.0,,,,
171,4638674,202404120172,8799457,300.0,425.0,42,507,[],,90,120.0,增白,0G2100CAKR-24W10077,增白,['增白'],浅浅,False,纱架,159.75,2,300.0,425.0,,,,
57,2215690,202404250181,8773441,545.0,685.0,42,507,[],,90,120.0,增白,041060CAJ-05W0004,增白,['增白'],浅浅,False,S,156.75,3,545.0,685.0,,,,
170,4639166,202404120172,8799457,805.0,985.0,42,507,[],,90,120.0,增白,0G2100CAKR-24W10077,增白,['增白'],浅浅,False,纱架,66.25,4,805.0,985.0,,,,
162,4639135,202405280058,8800263,1105.0,1315.0,42,507,[],,90,120.0,增白,021045CJ-05W0041,增白,['增白'],浅浅,False,纱架,65.5,5,1105.0,1315.0,,,,
14,2216932,202404120172,8799455,1435.0,1575.0,42,507,[],,90,120.0,增白,042120CAJ-05W0013,增白,['增白'],浅浅,False,S,64.75,6,1435.0,1575.0,,,,
213,4638425,202405260033,8799326,1695.0,1865.0,42,507,[],,90,120.0,增白,042230AJR-23W48753,增白,['增白'],浅浅,False,纱架,61.75,7,1695.0,1865.0,,,,
76,2216750,202405220222,8796424,1985.0,2125.0,42,507,[],,90,120.0,增白,042080CAJ-05W0012,增白,['增白'],浅浅,False,S,59.0,8,1985.0,2125.0,,,,
175,4638974,202405210138,8795244,2245.0,2425.0,42,507,[],,90,120.0,增白,041050CAK-23W401191,增白,['增白'],浅浅,False,纱架,57.5,9,2245.0,2425.0,,,,
189,4638777,202405280056,8799975,300.0,705.0,43,708,[],,90,120.0,浅浅,223022CDA-24H10049,浅浅,['浅浅'],浅浅,True,纱架,64.75,1,300.0,705.0,,,,
197,4639170,202405280024,8800451,825.0,1230.0,43,708,[],,90,120.0,浅浅,223022CDA-24Z10035,浅浅,['浅浅'],浅浅,True,纱架,63.25,2,825.0,1230.0,,,,
164,4639172,202405290026,8800431,1350.0,1680.0,43,708,[],,90,120.0,浅浅,021045CJ-21B10767,浅浅,['浅浅'],浅浅,False,纱架,62.5,3,1350.0,1680.0,,,,
198,4634920,202405080203,8782706,0.0,405.0,44,710,[],,90,120.0,浅浅,223022CDA-24B10029,浅浅,['浅浅'],浅浅,True,蚕丝架,158.25,1,0.0,405.0,,,,
150,4636805,202405220015,8795715,525.0,875.0,44,710,[],,90,120.0,浅浅,032100CAJ-18P10026,浅浅,['浅浅'],浅浅,True,纱架,156.75,2,525.0,875.0,,,,
118,4638781,202405220071,8796144,995.0,1420.0,44,710,[],,90,120.0,浅浅,041050AK-24R400360,浅浅,['浅浅'],浅浅,False,纱架,64.0,3,995.0,1420.0,,,,
74,4634759,202405110369,8786498,1105.0,1510.0,45,1011,[],,90,120.0,深色,223022CDA-23B10502,深色,['深色'],浅浅,True,纱架,163.35,1,1105.0,1510.0,,,,
148,4638861,202405250282,8799922,1630.0,2055.0,45,1011,[],,90,120.0,浅色,451050CK-23B13915,深色,['深色'],浅浅,False,纱架,63.25,2,1630.0,2055.0,,,,
129,4638202,202405240127,8798029,545.0,1050.0,46,1012,[],,90,120.0,深色,041060CAJ-15K150456,深色,['深色'],深色,True,纱架,157.5,1,545.0,1050.0,,,,
153,4638644,202405240134,8799789,272.6932195,697.6932194999999,47,203,[],,140,120.0,浅浅,261050CAJ-24H10020,浅色,['浅色'],浅浅,False,纱架,155.25,1,272.6932195,697.6932194999999,,,,
186,4639187,202405250251,8800170,817.6932194999999,942.6932194999999,47,203,[],,140,120.0,浅浅,452120CKR-24Z10234,浅色,['浅色'],浅浅,True,纱架,64.0,2,817.6932194999999,942.6932194999999,,,,
187,4639176,202405280106,8800211,1062.6932195,1537.6932195,47,203,[],,140,120.0,浅浅,042080CJ-14B17629,浅色,['浅色'],浅浅,False,纱架,62.5,3,1062.6932195,1537.6932195,,,,
86,2216138,202405140109,8788354,220.9932195,360.9932195,48,204,['204'],,140,120.0,增白,041060CJ-05W0004,浅色,['浅色'],增白,False,S,162.75,1,220.9932195,360.9932195,,,,
144,4636149,202405220168,8796131,480.9932195,885.9932195,48,204,[],,140,120.0,浅浅,223022CDA-23H10229,浅色,['浅色'],增白,False,纱架,158.25,2,480.9932195,885.9932195,,,,
154,4637586,202405250071,8798142,1005.9932195,1480.9932195000001,48,204,[],,140,120.0,浅浅,041040CJ-15B19893,浅色,['浅色'],增白,False,纱架,157.5,3,1005.9932195,1480.9932195000001,,,,
27,2216650,202405070008,8785144,1600.9932195000001,1740.9932195000001,48,204,['204'],,140,120.0,增白,041060CJ-05W0004,浅色,['浅色'],增白,False,L,156.0,4,1600.9932195000001,1740.9932195000001,,,,
208,2216640,202405060083,8779555,0.0,505.0,50,302,[],,140,120.0,深色,041050HJ-24K400051,深色,['深色'],深色,False,S,67.75,1,0.0,505.0,,,,
4,2217004,202405230063,8797591,0.0,575.0,51,303,[],,140,120.0,深色,041020L-24B53539,深色,['深色'],深色,False,L,63.25,1,0.0,575.0,,,,
107,2217022,202405230068,8797630,695.0,1270.0,51,303,[],,140,120.0,深色,041020L-24B53544,深色,['深色'],深色,False,L,63.25,2,695.0,1270.0,,,,
