工件,作业标识号,生产物流号,合作序号,开始时间,结束时间,所选机器,机器号,续作机器,锁定机器,机器容量,切换时间,深浅色,色号,机器常染颜色,能否荧光,轴型,优先级,生产顺序,开始时间,结束时间,锁定顺序,合作订单,合作生产物流号,合作染程用时
93,4627113,202404270196,8776698,7330.0,7755.0,26,711,[],,40,120.0,增白,041050HJ-18W400753,增白,False,纱架,47.4,5,7330.0,7755.0,,,,
94,4627114,202404270197,8776693,7875.0,8300.0,26,711,[],,40,120.0,增白,041050HJ-18W400759,增白,False,纱架,47.4,6,7875.0,8300.0,,,,
34,4627909,202404240106,8772552,9390.0,9815.0,26,711,[],,40,120.0,增白,042100CAJ-22W220034,增白,False,纱架,46.5,7,9390.0,9815.0,,,,
112,4627118,202404260022,8773759,9935.0,10360.0,26,711,[],,40,120.0,增白,042080CAJ-21P220002,增白,False,纱架,46.5,8,9935.0,10360.0,,,,
115,4626590,202403310071,8751565,11570.0,11995.0,26,711,[],,40,120.0,增白,452120CAKR-23W10870,增白,False,纱架,46.5,9,11570.0,11995.0,,,,
133,2213741,202404270311,8776010,14115.0,14540.0,26,711,[],,40,60.0,增白,041050CAJ-05W0004,增白,False,S,46.5,10,14115.0,14540.0,,,,
124,4627976,202404250207,8772869,17325.0,17750.0,26,711,[],,40,120.0,增白,042100CJRS-23W650065,增白,False,纱架,44.4,11,17325.0,17750.0,,,,
87,4627317,202404110079,8760312,20475.0,20900.0,26,711,[],,40,120.0,增白,451040CAK-24W10687,增白,False,纱架,43.5,12,20475.0,20900.0,,,,
20,4628734,202404250354,8774156,0.0,425.0,27,1006,[],,40,120.0,浅色,041050CAJ-24H42583,浅色,True,纱架,47.7,1,0.0,425.0,,,,
158,2213280,202404140038,8764176,545.0,970.0,27,1006,[],,40,60.0,浅色,041040CAJ-24B40369,浅色,True,S,47.7,2,545.0,970.0,,,,
181,2213289,202404190301,8769522,5390.0,5815.0,27,1006,[],,40,60.0,浅色,9E2100CAJ-24P10042,浅色,False,S,47.7,3,5390.0,5815.0,,,,
130,2213464,202404270298,8775913,7815.0,8240.0,27,1006,[],,40,60.0,浅色,041090CAJ-14B154621,浅色,False,S,47.4,4,7815.0,8240.0,,,,
13,4628775,202404200316,8770310,11570.0,11995.0,27,1006,[],,40,120.0,浅色,041020CL-24Z42471,浅色,True,纱架,45.3,5,11570.0,11995.0,,,,
51,4627507,202404060203,8756730,12115.0,12540.0,27,1006,[],,40,120.0,浅色,191060CJ-24Y10003,浅色,True,纱架,43.5,6,12115.0,12540.0,,,,
88,4627318,202404110080,8760315,19385.0,19810.0,27,1006,[],,40,120.0,浅色,451040CAK-24Z10230,浅色,False,纱架,43.5,7,19385.0,19810.0,,,,
127,4628538,202404270120,8775198,0.0,425.0,28,1007,[],,40,120.0,深色,122064AJRX-23Z10302,深色,True,纱架,50.7,1,0.0,425.0,,,,
26,4628761,202404260007,8774097,545.0,970.0,28,1007,[],,40,120.0,中色,041060CAJ-24H42605,深色,True,纱架,47.7,2,545.0,970.0,,,,
201,2212884,202404180014,8765860,7330.0,7755.0,28,1007,[],,40,60.0,中色,041050CAJ-24H220036,深色,False,S,47.7,3,7330.0,7755.0,,,,
155,2213465,202404270298,8775914,7815.0,8240.0,28,1007,[],,40,60.0,中色,041090CAJ-14B154622,深色,False,S,47.4,4,7815.0,8240.0,,,,
189,2213458,202405030117,8778143,8300.0,8725.0,28,1007,[],,40,60.0,中色,042100CAJ-19B409878,深色,False,S,47.4,5,8300.0,8725.0,,,,
148,2213305,202404250160,8773537,8785.0,9210.0,28,1007,[],,40,60.0,中色,9E2100CAJ-24B10401,深色,False,S,46.5,6,8785.0,9210.0,,,,
178,2213451,202404270242,8776418,13145.0,13570.0,28,1007,[],,40,60.0,中色,042120CAJ-14B107610,深色,False,S,46.5,7,13145.0,13570.0,,,,
11,4628774,202404200316,8770309,13630.0,14055.0,28,1007,[],,40,120.0,中色,041020CL-24B47545,深色,True,纱架,45.3,8,13630.0,14055.0,,,,
166,2212885,202404180014,8765861,0.0,425.0,42,507,[],,90,60.0,增白,041050CAJ-05W0004,增白,False,S,47.7,1,0.0,425.0,,,,
171,2212168,202403260111,8750535,970.0,1395.0,42,507,[],,90,60.0,增白,812100CAJX-20W10892,增白,False,S,47.7,2,970.0,1395.0,,,,
99,4626762,202404240088,8772510,1455.0,1880.0,42,507,[],,90,120.0,增白,223022CDWA-1710661,增白,False,纱架,47.4,3,1455.0,1880.0,,,,
187,2213128,202405030007,8777947,2000.0,2425.0,42,507,[],,90,60.0,增白,041060CJ-05W0004,增白,False,M,47.4,4,2000.0,2425.0,,,,
